Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDS24,OUT027,2912.378753
FDK44,OUT049,2884.613724
FDS48,OUT045,2384.570943
FDK26,OUT010,1132.959575
FDD23,OUT045,3051.685944
NCH54,OUT017,2674.576273
NCP14,OUT010,255.6280154
FDM60,OUT010,1200.041851
FDV24,OUT017,2550.786672
FDH08,OUT018,3385.759657
FDS12,OUT027,3470.552681
FDR39,OUT027,4316.501579
FDP12,OUT027,2120.657422
DRF60,OUT027,5166.170529
FDC09,OUT035,1784.294229
FDF50,OUT018,2891.199623
FDG28,OUT035,3924.59558
NCE19,OUT017,1021.187512
NCM53,OUT010,185.2900392
NCN18,OUT049,1846.640677
FDF32,OUT035,3234.787935
FDF11,OUT013,3894.637936
DRI59,OUT049,3667.81947
NCG54,OUT035,2705.500805
FDM44,OUT046,1673.435197
FDT57,OUT018,3457.224352
FDV24,OUT046,2407.286677
FDI50,OUT019,1784.187574
FDS09,OUT035,932.8264437
NCC31,OUT027,3886.367941
FDQ07,OUT019,1628.331556
FDC22,OUT017,3206.105717
FDZ56,OUT046,2731.183513
FDZ40,OUT019,1024.162705
FDS46,OUT027,3385.419916
DRD24,OUT045,2214.270392
FDV45,OUT017,3137.288467
FDL26,OUT045,2492.528717
FDA56,OUT018,1739.363237
FDN27,OUT046,1899.886326
FDM20,OUT049,4006.793912
FDO16,OUT017,1476.207339
FDL03,OUT035,3200.143661
FDE58,OUT046,1869.039526
FDI02,OUT027,3311.752171
NCC55,OUT019,1278.196437
FDR03,OUT018,3038.022302
FDB14,OUT017,1697.539361
FDR45,OUT013,3839.032506
NCN07,OUT017,2206.876326
FDM51,OUT019,195.9071834
FDT52,OUT027,5339.456025
FDL26,OUT046,2482.469655
NCZ42,OUT046,3753.852486
DRI47,OUT019,438.5365976
FDW40,OUT013,2291.551638
FDN34,OUT046,2720.80038
FDS01,OUT035,2921.757564
NCG55,OUT045,1820.061168
FDC11,OUT035,1470.097149
FDX35,OUT018,3353.823752
NCB06,OUT046,2538.914031
FDR09,OUT019,2186.790771
FDC53,OUT017,1695.841313
FDY45,OUT013,4049.000677
FDA22,OUT010,781.2056356
FDE02,OUT035,1606.032794
FDW21,OUT045,1662.232681
FDV34,OUT046,1247.408499
FDS59,OUT049,1904.932282
NCW17,OUT017,2188.499821
NCK54,OUT046,1853.074253
FDG17,OUT019,1983.861976
FDG35,OUT017,2954.205105
FDD08,OUT010,1230.572764
NCO07,OUT017,3480.743527
FDJ10,OUT010,364.7750429
FDW36,OUT017,1822.377694
FDW21,OUT010,246.0626501
FDY19,OUT017,2068.860948
DRE03,OUT013,823.0487688
NCC55,OUT049,711.784156
FDH52,OUT010,848.2026494
FDO09,OUT017,4339.435021
FDU43,OUT045,3842.983968
FDX09,OUT010,855.085416
FDH40,OUT019,542.6364002
FDW58,OUT017,1824.29422
FDC47,OUT017,3715.495008
NCR41,OUT035,1574.005689
DRG49,OUT035,3893.497612
FDC52,OUT027,3881.778734
FDY13,OUT046,1252.947939
FDY35,OUT013,829.5165043
FDI35,OUT017,3058.363034
NCU18,OUT049,2319.920431
FDY33,OUT018,2271.58342
FDC15,OUT027,3884.748607
FDU01,OUT049,3121.311
NCU42,OUT046,2672.071815
NCV29,OUT018,2546.293162
NCY30,OUT017,3014.995014
FDQ46,OUT049,1884.076966
FDG58,OUT027,3928.476751
FDK33,OUT017,3519.66145
NCD07,OUT045,1811.240793
NCX29,OUT027,3740.112332
NCT42,OUT013,2372.907221
DRN59,OUT035,819.0740532
FDI44,OUT035,1356.818859
FDA45,OUT049,2895.169907
FDP31,OUT045,1112.811556
FDY01,OUT046,1896.538939
FDT09,OUT018,1889.77155
DRH03,OUT027,2979.068981
FDA36,OUT018,2703.679016
NCF31,OUT017,2555.378563
FDG14,OUT049,2583.64634
FDG28,OUT027,5348.396043
FDU14,OUT049,4004.038453
FDY47,OUT019,247.9083839
FDI56,OUT049,1587.782605
DRD01,OUT013,983.3327077
FDM22,OUT046,940.3390292
FDH33,OUT013,722.6316184
DRZ24,OUT013,1904.940563
NCQ38,OUT046,1684.143112
FDO16,OUT027,2798.641428
FDU07,OUT027,3861.63645
NCB07,OUT013,3073.847219
FDU48,OUT045,2100.754622
NCM43,OUT045,2603.420287
FDR31,OUT010,466.8461703
DRK49,OUT018,398.4926442
NCI30,OUT010,1910.361061
DRD60,OUT017,2998.866036
NCG19,OUT046,3663.291645
FDH12,OUT035,1738.885147
FDM32,OUT035,1569.233558
FDM27,OUT035,2559.059111
NCU53,OUT027,4078.938979
NCQ18,OUT046,1546.877772
FDS10,OUT013,2870.898957
FDB33,OUT027,3999.150313
FDI12,OUT013,1461.031472
NCW42,OUT013,3498.119339
NCC06,OUT018,1750.270858
FDW02,OUT017,2160.613549
NCD43,OUT017,1798.525553
FDM57,OUT018,1101.100347
FDA58,OUT017,3871.586077
FDK56,OUT046,2958.253867
FDP52,OUT045,3654.544278
FDW20,OUT018,1744.665893
FDS52,OUT049,1705.006276
NCT29,OUT018,1635.948578
NCL54,OUT013,2797.084765
FDC05,OUT045,3138.652982
FDF34,OUT035,3215.611562
FDP03,OUT027,3487.838999
FDD32,OUT010,488.8302638
FDZ10,OUT045,2014.97139
FDZ40,OUT035,928.7533929
FDD51,OUT018,398.8578493
NCY30,OUT019,928.3549484
FDP58,OUT017,3568.648348
FDV49,OUT017,4352.894113
FDY24,OUT019,1014.429736
NCO55,OUT017,1841.366831
FDR13,OUT017,2093.604933
FDS51,OUT017,1172.466374
FDP26,OUT045,1610.303605
NCB54,OUT027,3512.286744
FDF32,OUT017,3296.752557
FDN31,OUT018,2753.853594
DRM48,OUT017,722.3750438
FDN20,OUT049,2821.488025
DRL01,OUT046,3699.991675
FDV56,OUT049,1905.07971
DRH13,OUT027,3167.103325
FDA03,OUT017,2459.50204
FDF47,OUT027,5010.061223
FDX32,OUT046,2400.83854
FDX57,OUT049,1689.600979
NCA30,OUT045,2957.222666
FDO49,OUT013,910.4651362
FDL04,OUT019,253.813155
DRM48,OUT035,648.0062973
FDR16,OUT013,3403.865747
NCC19,OUT018,2738.740486
NCE42,OUT045,3681.981849
FDY24,OUT017,1084.853197
FDH19,OUT049,2891.177814
FDJ46,OUT013,2783.642651
FDN45,OUT010,1602.561439
FDY08,OUT035,2335.688818
FDZ37,OUT035,1535.531544
NCT30,OUT045,742.1164255
DRY23,OUT018,438.7660018
NCZ30,OUT018,1648.831159
FDC44,OUT018,1548.911001
FDB45,OUT035,1770.587936
FDY04,OUT013,2646.833297
FDM27,OUT046,2572.764246
FDZ43,OUT017,4030.656868
FDT39,OUT019,565.3225143
NCC06,OUT019,104.4710233
FDL15,OUT027,3903.122687
FDL57,OUT017,4240.002773
FDU08,OUT046,1633.387026
FDK40,OUT017,4297.586384
FDQ12,OUT010,1716.897706
FDS48,OUT017,2560.667535
FDP09,OUT045,3340.200297
FDW21,OUT049,1744.111326
FDY25,OUT035,2960.486486
DRE13,OUT017,1515.834565
FDV43,OUT019,1156.138109
FDD22,OUT045,1767.586841
FDM46,OUT019,449.2848579
NCO30,OUT010,995.3995479
FDM25,OUT046,2812.426292
NCN41,OUT049,2058.038965
FDU24,OUT045,1525.080404
FDZ50,OUT046,2907.223015
FDP45,OUT013,4042.214586
NCM54,OUT045,1971.723087
FDW10,OUT019,872.299883
FDP20,OUT017,2221.377156
FDK32,OUT046,2482.983334
FDN52,OUT049,1521.003817
FDM58,OUT045,1800.933698
FDZ46,OUT027,3221.253352
NCA18,OUT018,1569.40102
FDD35,OUT046,1987.287943
NCK31,OUT035,864.1120369
FDI40,OUT027,3073.242258
FDT50,OUT019,348.9157422
NCT06,OUT046,2589.55828
FDT31,OUT035,3070.023476
FDT45,OUT049,970.1786455
FDT13,OUT045,2994.140388
FDO50,OUT045,1482.629477
NCU18,OUT010,295.6550899
NCR54,OUT049,3147.523999
NCO18,OUT018,2526.913928
FDU09,OUT045,953.8124492
FDT13,OUT018,2735.868991
FDE09,OUT046,1845.998978
NCK53,OUT019,271.2159812
FDG45,OUT049,3506.106224
DRH15,OUT035,796.0194692
FDO21,OUT019,1696.179675
FDD14,OUT027,4379.623316
FDC09,OUT046,1735.429254
FDH45,OUT027,2242.708093
FDV32,OUT046,1096.873017
FDG12,OUT035,2018.752529
FDS32,OUT013,2347.766887
NCL55,OUT018,3671.037753
DRE01,OUT035,3851.696751
DRE15,OUT049,1359.648023
NCL42,OUT045,3855.960089
FDP31,OUT013,1130.525257
FDN33,OUT018,1257.699128
FDZ59,OUT046,2660.845971
FDE45,OUT010,953.5117567
FDJ07,OUT013,1946.734675
FDQ45,OUT018,2697.209327
FDM33,OUT027,4905.092045
FDO15,OUT010,622.4897791
FDM46,OUT013,1500.020777
FDR03,OUT045,3300.962485
FDY49,OUT018,2449.081805
FDQ60,OUT045,1929.372543
FDW10,OUT049,2880.812791
FDO51,OUT049,898.6967487
FDJ40,OUT018,1490.808835
FDS20,OUT018,2651.543832
FDU45,OUT013,1875.606216
FDV02,OUT035,2692.983387
FDN09,OUT046,3826.410014
NCM55,OUT027,4392.379387
FDN23,OUT018,2080.427821
FDY31,OUT010,438.8815046
FDW03,OUT010,142.5990624
FDD14,OUT046,2913.552498
FDV23,OUT017,2154.581864
DRI03,OUT045,2789.836818
FDN13,OUT035,1635.972491
FDF45,OUT027,2520.428935
FDU46,OUT035,1512.287786
FDB57,OUT049,3695.077653
FDV12,OUT049,1743.542429
FDQ58,OUT013,2445.123506
NCA18,OUT017,1970.527985
FDH52,OUT049,1122.808986
FDM24,OUT018,2159.507824
NCP43,OUT027,4314.246385
NCO18,OUT019,880.1162607
FDM32,OUT017,1654.625552
NCL07,OUT017,775.4168372
FDK03,OUT013,4021.532141
FDP59,OUT017,1837.126903
FDQ24,OUT049,4055.094324
FDQ16,OUT018,1460.273426
FDU44,OUT013,2663.129211
FDH28,OUT010,1264.809732
FDV28,OUT019,1313.34355
FDM22,OUT045,918.2212303
FDR56,OUT046,3173.049215
FDV39,OUT049,3233.799036
FDU37,OUT019,539.4399018
FDQ11,OUT010,2191.768342
FDX02,OUT045,3475.165942
NCS42,OUT018,1185.013598
FDY57,OUT027,2999.937896
FDB21,OUT049,3935.045489
FDE28,OUT017,3780.32678
FDQ55,OUT017,2045.685973
FDA48,OUT049,3610.408075
FDZ19,OUT045,2786.119726
NCC43,OUT045,3934.127348
NCV18,OUT046,1289.338441
NCA42,OUT018,2229.944951
FDY45,OUT046,4045.559656
NCC30,OUT045,2797.851219
FDM57,OUT013,1447.155628
FDL09,OUT010,739.6389667
FDB09,OUT027,3481.587152
FDT44,OUT035,1976.156284
NCT06,OUT027,4033.123021
FDX26,OUT049,2951.051981
FDK32,OUT013,2544.966233
DRA12,OUT046,2262.277415
FDO46,OUT010,1115.479108
FDE52,OUT013,1437.397503
NCH42,OUT045,3600.925117
FDV08,OUT035,800.8545559
FDB47,OUT018,3050.616814
FDC28,OUT010,162.5315618
FDD22,OUT046,1812.060591
FDS07,OUT027,3323.47613
DRI13,OUT045,3404.939832
FDG32,OUT018,3253.702695
FDU14,OUT017,4050.992835
FDD28,OUT019,953.5141142
NCP41,OUT017,1904.221466
FDS08,OUT049,2914.831006
FDX47,OUT045,2554.718965
FDC53,OUT019,287.5668479
FDQ19,OUT035,3947.219777
FDL14,OUT045,2534.22208
FDM33,OUT019,1579.827237
FDA51,OUT045,1779.023403
FDZ27,OUT018,498.9667616
FDT04,OUT046,660.8216613
DRC13,OUT049,2121.523926
FDR16,OUT027,4856.486236
FDQ03,OUT027,5225.478915
FDE38,OUT035,2753.50652
DRH23,OUT027,2371.604508
FDT11,OUT019,1139.676368
FDD09,OUT035,2943.595747
FDR40,OUT045,1334.607793
FDX07,OUT017,3134.419175
FDR07,OUT035,1639.170975
FDA51,OUT017,1949.814438
FDT59,OUT019,1765.42137
FDF20,OUT017,3274.068465
FDR13,OUT045,1910.243098
FDY26,OUT049,3422.88711
FDW04,OUT017,2238.868237
FDK52,OUT017,3699.974299
FDN60,OUT049,2593.700082
FDM09,OUT019,838.6322851
FDP46,OUT049,1508.50377
FDB50,OUT019,620.2961096
NCQ29,OUT049,4166.8795
FDP16,OUT027,5306.827595
FDX33,OUT018,2310.749023
FDP07,OUT010,1215.882728
FDN22,OUT046,3981.37064
FDF39,OUT049,4218.225717
FDS21,OUT017,1182.06072
NCM42,OUT013,1731.044651
FDK50,OUT019,741.1331526
DRF13,OUT027,3776.698988
FDH35,OUT018,2354.754951
FDP60,OUT018,1328.62405
DRJ49,OUT027,3518.789555
NCT42,OUT019,441.8415655
FDE38,OUT049,2799.710801
FDI04,OUT049,3259.720745
NCH54,OUT045,2463.210272
FDT56,OUT049,1129.651924
DRD15,OUT018,3398.119947
FDV58,OUT013,3091.012786
FDP21,OUT049,3110.308397
FDH05,OUT013,3721.673394
FDR10,OUT027,4024.508645
NCP06,OUT045,2335.268747
FDF33,OUT049,2009.390951
DRK37,OUT013,2997.892915
DRH49,OUT045,1324.897948
FDT58,OUT013,2683.351437
FDD41,OUT018,1416.412694
FDP40,OUT018,1523.080856
FDM51,OUT027,3140.860751
FDO45,OUT010,476.207281
FDW33,OUT010,224.8176671
FDY24,OUT045,930.6595773
FDB10,OUT010,1827.790721
FDM40,OUT035,2266.055653
NCI06,OUT017,2983.01639
FDW12,OUT019,442.7353138
FDX48,OUT027,3966.304892
NCW05,OUT027,3145.879673
FDX27,OUT017,1657.02082
DRM37,OUT045,3097.225865
FDA38,OUT045,3768.059238
FDR36,OUT046,712.793356
FDZ45,OUT046,3142.154153
FDG05,OUT017,2677.205894
FDK28,OUT013,4091.307503
FDV47,OUT045,1385.384826
FDN21,OUT045,2528.002882
FDP20,OUT027,3521.507788
FDI35,OUT045,2903.050622
DRY23,OUT013,769.2798555
FDA56,OUT017,2154.526407
FDB09,OUT013,2036.240848
NCO26,OUT027,3293.625702
FDQ49,OUT018,2266.512308
FDI52,OUT027,3376.866684
FDZ44,OUT027,3371.600698
FDZ09,OUT018,2317.9462
FDY03,OUT049,1952.908748
NCG42,OUT017,2187.049951
DRI13,OUT027,4886.429552
FDQ32,OUT013,2117.404652
FDW16,OUT035,1539.946931
FDU27,OUT046,805.3499484
FDR28,OUT010,701.5268194
FDQ49,OUT010,653.411918
FDS37,OUT046,1902.52448
FDW26,OUT018,3195.633151
FDX12,OUT018,3582.525833
NCP06,OUT013,2399.637541
FDW45,OUT010,396.1209942
NCN30,OUT049,1597.163135
FDN24,OUT049,969.1390234
NCL41,OUT027,2012.262557
FDR02,OUT019,174.8264891
FDD09,OUT010,1000.235516
FDS33,OUT010,472.3607404
FDU22,OUT045,1890.217865
FDI53,OUT013,2619.411156
DRH01,OUT049,2855.201054
FDX32,OUT013,2377.15497
NCP30,OUT018,364.1600654
FDB60,OUT045,3105.097853
FDB14,OUT049,1664.666182
NCP02,OUT035,979.5611342
FDJ10,OUT017,2406.335611
FDG34,OUT046,1808.656641
NCB18,OUT017,1531.343221
FDM16,OUT049,1333.238196
FDW25,OUT018,1125.87057
FDB35,OUT010,375.3712598
DRN11,OUT013,2299.119969
FDF41,OUT019,1967.62309
FDH16,OUT045,1393.534036
NCQ50,OUT018,3055.536115
DRH23,OUT018,644.361256
DRJ37,OUT013,2429.056209
DRJ24,OUT027,4347.925293
FDY16,OUT035,2968.319768
FDQ27,OUT045,1732.876332
FDZ33,OUT045,2339.853478
FDF29,OUT045,2112.240691
FDA08,OUT049,2769.819722
FDG31,OUT046,1071.402695
FDE34,OUT019,1008.626443
NCR30,OUT027,2616.055446
FDV33,OUT035,4167.75954
DRZ24,OUT018,1627.068854
NCL54,OUT035,2766.827832
FDR12,OUT049,2895.504364
NCC54,OUT046,3805.434562
DRN59,OUT013,799.8238117
FDX50,OUT019,182.1404706
FDV31,OUT027,4306.210185
NCA29,OUT027,4168.459314
FDW60,OUT049,2963.997945
FDX08,OUT017,3079.44798
DRD49,OUT013,3723.110991
FDD33,OUT046,3679.200328
FDW35,OUT013,764.4946292
FDJ36,OUT017,1828.948382
FDV51,OUT035,2703.447993
FDW36,OUT046,1717.763406
FDH35,OUT046,2652.828052
NCS30,OUT027,3502.176646
FDN49,OUT017,825.6978213
FDL08,OUT018,3645.091652
FDI09,OUT013,4036.641493
FDP19,OUT018,1801.773334
FDU21,OUT010,1320.589058
NCP41,OUT045,1719.291872
FDY10,OUT013,1832.522544
FDP12,OUT018,391.7358605
NCN26,OUT049,1932.87913
FDK44,OUT013,2820.411845
FDC28,OUT049,1830.452377
FDJ41,OUT027,5588.943548
NCT29,OUT035,2020.277513
NCH42,OUT019,1684.496569
FDU60,OUT018,2421.294881
FDS02,OUT045,3027.170955
FDC51,OUT046,1978.148238
FDU03,OUT013,2965.934878
FDX39,OUT045,3387.021752
NCY05,OUT010,1298.158526
NCL06,OUT027,5516.176453
FDD32,OUT035,1419.285066
NCN41,OUT045,1946.558391
NCX53,OUT049,2355.11909
FDU57,OUT019,509.9790087
FDQ23,OUT046,1695.238565
FDQ52,OUT045,3881.279253
FDC14,OUT045,741.4656582
FDY09,OUT035,2856.712097
FDQ28,OUT045,2495.371805
FDV25,OUT046,3534.394494
FDJ07,OUT035,1930.507117
DRB25,OUT049,1778.666886
FDK52,OUT019,1631.914547
FDY52,OUT027,2475.223004
FDB28,OUT046,3084.86137
FDT36,OUT035,657.8039726
FDV25,OUT017,3693.543833
NCN07,OUT027,3523.130519
FDC57,OUT017,3279.393341
FDQ03,OUT018,3504.783422
FDU23,OUT017,2817.790963
NCX41,OUT035,3414.979648
NCD06,OUT035,787.7629471
FDW08,OUT045,1717.415021
NCU29,OUT017,2459.899799
NCE06,OUT013,2555.307877
FDV52,OUT010,36.26433131
FDB02,OUT017,3028.062228
NCR18,OUT045,682.4634908
FDK16,OUT049,1596.773408
NCQ29,OUT010,2143.224262
FDZ01,OUT019,144.2328785
FDW27,OUT035,2578.594503
FDD17,OUT018,3466.99813
FDW39,OUT013,2890.68237
DRH59,OUT045,1176.693366
FDS52,OUT013,1659.435803
FDU40,OUT027,4526.309379
NCF54,OUT013,2756.011916
FDH46,OUT045,1684.735514
NCP14,OUT049,1722.193898
FDH50,OUT049,3104.231924
DRF15,OUT010,534.3460717
FDV27,OUT027,2916.323596
NCJ06,OUT049,1990.736599
FDN02,OUT018,3002.292468
FDQ51,OUT049,920.6594392
FDQ07,OUT017,3733.591469
FDS45,OUT049,1834.426681
NCJ06,OUT045,1896.393021
FDD36,OUT035,1940.877075
FDY25,OUT045,2921.697805
FDU52,OUT046,2446.094727
DRK47,OUT017,3737.840367
NCL30,OUT017,2162.565589
FDN22,OUT035,4041.144483
NCF30,OUT027,3421.216069
FDK03,OUT035,4086.298726
FDT45,OUT017,1046.709705
NCC54,OUT027,5221.349679
FDP08,OUT018,2878.741143
FDU44,OUT046,2672.80071
DRG39,OUT035,929.0707081
FDU32,OUT049,2093.055735
FDY27,OUT049,2885.446845
NCP54,OUT013,1972.302275
NCZ41,OUT049,2109.945576
DRL49,OUT013,2297.724678
FDI05,OUT018,972.3041797
FDY56,OUT045,3641.795275
DRC13,OUT013,2058.832496
NCV29,OUT017,2995.721738
FDR24,OUT049,1579.352389
FDZ34,OUT018,2784.378946
FDP37,OUT035,2062.594417
FDX08,OUT027,4363.544806
FDS57,OUT045,2226.517837
NCG18,OUT049,1719.308272
FDK25,OUT018,2437.698018
FDH53,OUT049,1434.945558
DRI59,OUT018,3259.115086
FDA52,OUT046,2816.127141
FDT20,OUT010,1226.65399
FDE36,OUT019,736.9711569
FDI24,OUT017,2918.895532
FDB28,OUT018,2828.817515
FDV11,OUT017,3000.147841
FDP01,OUT046,2501.421095
FDD34,OUT027,4025.809653
FDJ50,OUT027,2353.954736
FDZ44,OUT013,1972.383685
DRO59,OUT035,1288.576155
DRB48,OUT045,675.7298492
FDR21,OUT018,2495.873952
NCE42,OUT010,1772.788217
FDO23,OUT046,1497.699161
NCE30,OUT018,3040.503816
FDQ22,OUT035,687.9519123
FDY01,OUT045,1886.303902
FDS08,OUT017,3003.824321
FDG28,OUT018,3641.533829
FDQ51,OUT018,580.508647
FDB05,OUT017,4057.27731
FDO56,OUT049,2046.310853
FDE02,OUT018,1238.735509
FDN45,OUT017,3650.229729
FDS09,OUT013,880.5228127
NCA54,OUT018,2571.847822
FDP09,OUT010,1449.362805
FDC53,OUT045,1573.215496
NCM55,OUT017,3082.180105
FDL09,OUT018,2426.613579
FDA11,OUT019,385.4544775
FDA50,OUT045,1458.903186
FDC23,OUT017,3018.006469
FDE22,OUT049,2627.438622
FDD23,OUT046,3038.50043
NCA29,OUT049,2815.511455
FDK38,OUT046,2380.038506
DRC13,OUT046,1976.601987
NCP43,OUT049,2928.052777
FDX28,OUT049,1668.974798
FDF08,OUT049,1623.935036
FDZ33,OUT046,2367.195533
FDD10,OUT049,2967.528599
FDO58,OUT017,2721.106102
FDI50,OUT017,3861.69456
FDO58,OUT045,2617.197804
FDX08,OUT013,2946.41986
NCK17,OUT010,1225.776088
FDF39,OUT035,4188.384469
FDU45,OUT010,76.72183048
NCJ18,OUT018,1551.585286
DRC27,OUT019,1989.669963
DRC25,OUT035,1413.876066
FDU59,OUT035,2610.660173
FDU28,OUT035,3068.728241
NCP30,OUT046,660.6507217
FDB39,OUT018,593.5228564
FDE41,OUT013,1450.567908
DRH11,OUT010,986.1368
FDA58,OUT045,3703.86174
FDU50,OUT046,1845.460071
FDM34,OUT013,2093.283368
FDM44,OUT027,3132.120656
FDR39,OUT045,2899.696462
FDM25,OUT045,2828.721928
FDQ49,OUT049,2639.387743
DRH25,OUT018,575.6933355
FDM09,OUT027,4196.311467
FDL44,OUT019,714.439673
NCR42,OUT018,253.4702488
DRL59,OUT046,885.0960455
FDX43,OUT013,2740.22572
DRK47,OUT010,1670.100334
FDU48,OUT018,1830.004682
FDY12,OUT045,851.9020998
NCN43,OUT018,1680.128109
NCM55,OUT018,2623.420404
FDQ21,OUT027,3412.846463
FDX13,OUT035,4048.630965
NCK30,OUT027,5415.962527
FDG20,OUT049,2942.101811
DRG27,OUT017,811.7511834
FDY14,OUT018,3845.916592
FDP59,OUT035,1751.781167
FDU60,OUT017,2869.550004
NCC18,OUT019,755.3111833
DRJ39,OUT017,3596.18335
FDS07,OUT049,1942.708577
FDM08,OUT027,5046.074533
FDP51,OUT045,1956.437959
FDU16,OUT035,1395.250266
FDH12,OUT013,1744.21852
DRE48,OUT010,1181.516994
